PROBE_ID	7677153059_K.VALUE	7677153059_K.Detection Pval
ILMN_1673330	112.2566	0.1805195
ILMN_1668900	120.3227	0.1064935
ILMN_2389013	180.9116	0.009090909
ILMN_1760143	407.3616	0
ILMN_1790757	378.228	0
ILMN_2092664	400.2388	0
ILMN_1778796	228.5513	0
ILMN_1749804	113.2653	0.1714286
ILMN_1720235	104.9768	0.3012987
ILMN_2240009	130.9891	0.04675325
ILMN_1736178	101.0472	0.4090909
ILMN_1803376	158.2406	0.01688312
ILMN_3240321	107.7896	0.2467532
ILMN_1712944	1009.091	0
ILMN_2333107	491.6095	0
ILMN_1707958	97.2106	0.5324675
ILMN_1660424	92.30309	0.6909091
ILMN_1701998	111.9825	0.1831169
ILMN_1651235	78.4099	0.9896104
ILMN_1694140	115.3363	0.1363636
ILMN_1730995	110.4457	0.2051948
ILMN_2404917	103.084	0.3493507
ILMN_1702696	104.6542	0.3116883
ILMN_2084562	111.3631	0.1974026
ILMN_1769563	97.85329	0.5090909
ILMN_1673119	126.077	0.06493507
ILMN_2129015	232.9807	0
ILMN_1725889	100.9895	0.4103896
ILMN_1775235	94.60672	0.6194805
ILMN_1677951	80.79039	0.9649351
ILMN_1708502	178.8714	0.01038961
ILMN_1705447	214.077	0.001298701
ILMN_1699172	128.2461	0.05454545
ILMN_2409898	88.55107	0.8
ILMN_2295698	93.658	0.6467533
ILMN_2066124	201.2858	0.005194805
ILMN_1777797	90.80057	0.7311688
ILMN_2095653	103.17	0.3480519
ILMN_1707551	104.146	0.3246753
ILMN_1782204	88.92451	0.7896104
ILMN_2402766	241.1584	0
ILMN_1767722	111.0014	0.2038961
ILMN_2342841	192.7997	0.006493506
ILMN_1802631	141.8628	0.03376623
ILMN_2318481	78.31487	0.9896104
ILMN_2245223	127.2477	0.05974026
ILMN_3238543	91.46118	0.7116883
ILMN_1735591	123.0183	0.08311688
ILMN_2362126	121.9059	0.09350649
ILMN_2269136	141.8549	0.03376623
ILMN_3239130	223.0819	0.001298701
ILMN_2120103	101.5222	0.3909091
ILMN_3242883	369.9509	0
ILMN_2100055	115.3416	0.1363636
ILMN_1887648	81.31358	0.9571428
ILMN_1688627	98.66531	0.4844156
ILMN_1672767	108.025	0.2454545
ILMN_2196642	89.53813	0.774026
ILMN_2308689	155.4001	0.02077922
ILMN_2290776	117.7593	0.1246753
ILMN_1777182	116.876	0.1298701
ILMN_1729777	105.7176	0.287013
ILMN_1690829	118.1034	0.1194805
ILMN_2257015	145.6408	0.03116883
ILMN_3181215	139.8181	0.03376623
ILMN_3260345	162.3539	0.01298701
ILMN_1703228	113.3941	0.1701299
ILMN_1652023	124.8368	0.07012987
ILMN_2064917	260.7983	0
ILMN_1776153	137.526	0.03376623
ILMN_1772645	158.378	0.01688312
ILMN_1775082	96.82664	0.5415584
ILMN_1680343	121.1281	0.1
ILMN_2277492	93.17797	0.6610389
ILMN_2371825	217.1146	0.001298701
ILMN_1717468	93.74843	0.6415585
ILMN_2274377	92.69878	0.6779221
ILMN_1750235	79.12877	0.9857143
ILMN_1664006	139.0766	0.03376623
ILMN_1707169	116.9067	0.1298701
ILMN_1779109	89.49828	0.774026
ILMN_1697790	106.8553	0.2662338
ILMN_1679520	178.0199	0.01038961
ILMN_1732176	162.4211	0.01298701
ILMN_1681081	151.502	0.02597403
ILMN_2377430	197.0435	0.005194805
ILMN_1661373	99.52336	0.4467532
ILMN_2288175	108.0429	0.2441558
ILMN_1654010	211.6199	0.001298701
ILMN_1732672	111.2517	0.2
ILMN_1730504	136.1083	0.03766234
ILMN_1662049	159.4034	0.01558442
ILMN_1740752	120.0123	0.1090909
ILMN_1794875	311.6078	0
ILMN_1698209	157.0008	0.01688312
ILMN_3307841	95.40969	0.5987013
ILMN_1814151	97.3662	0.5272727
ILMN_2050246	97.58426	0.5194805
ILMN_1728787	141.0245	0.03376623
ILMN_2234605	85.19382	0.8909091
ILMN_1770454	155.5826	0.01948052
ILMN_1770336	89.18696	0.7831169
ILMN_1714253	110.155	0.2064935
ILMN_1813530	153.5846	0.02467532
ILMN_2223922	159.2265	0.01558442
ILMN_1718071	574.0995	0
ILMN_1814327	105.5372	0.2883117
ILMN_2341343	101.497	0.3909091
ILMN_1775634	89.67248	0.7675325
ILMN_1802458	231.0249	0
ILMN_2307656	210.1446	0.001298701
ILMN_1709796	117.3591	0.125974
ILMN_1783963	84.90248	0.9
ILMN_2134801	83.63339	0.9285714
ILMN_1757807	106.6001	0.2701299
ILMN_1673529	295.679	0
ILMN_1686370	142.5778	0.03376623
ILMN_1809139	262.4839	0
ILMN_1747504	263.6682	0
ILMN_1666679	149.3564	0.02857143
