PROBE_ID	7677153062_E.VALUE	7677153062_E.Detection Pval
ILMN_1694007	81.26757	0.3194805
ILMN_3307926	2899.563	0
ILMN_1673330	98.47186	0.1116883
ILMN_1668900	104.0058	0.09090909
ILMN_2389013	143.1594	0.03246753
ILMN_1760143	404.784	0
ILMN_1790757	402.9291	0
ILMN_2092664	380.4488	0
ILMN_1778796	254.4007	0.003896104
ILMN_1749804	106.0744	0.08701298
ILMN_1720235	85.50977	0.2415584
ILMN_2240009	75.99907	0.4974026
ILMN_1736178	87.37608	0.2155844
ILMN_1803376	170.3872	0.01428571
ILMN_3240321	101.744	0.0987013
ILMN_1712944	908.7809	0
ILMN_2333107	327.699	0
ILMN_1707958	84.6196	0.2597403
ILMN_1660424	72.6776	0.6636364
ILMN_1701998	103.1848	0.09220779
ILMN_1651235	77.37231	0.4415585
ILMN_1694140	76.26077	0.4883117
ILMN_1730995	103.8641	0.09220779
ILMN_2404917	93.11078	0.1493506
ILMN_1702696	85.31823	0.2454545
ILMN_2084562	74.19678	0.5766234
ILMN_1769563	82.18331	0.3
ILMN_1673119	116.6996	0.05714286
ILMN_2129015	215.2211	0.006493506
ILMN_1725889	83.46979	0.2818182
ILMN_1775235	115.1193	0.05974026
ILMN_1677951	72.11189	0.7025974
ILMN_1708502	170.2892	0.01428571
ILMN_1705447	155.8865	0.01818182
ILMN_1699172	96.99105	0.1233766
ILMN_2409898	73.25295	0.625974
ILMN_2295698	80.95189	0.3272727
ILMN_2066124	176.8519	0.01298701
ILMN_1777797	71.62096	0.7428572
ILMN_2095653	86.06702	0.2324675
ILMN_1707551	96.26379	0.1298701
ILMN_1782204	72.35002	0.6883117
ILMN_2402766	290.7959	0
ILMN_1767722	108.4104	0.07922078
ILMN_2342841	247.6783	0.003896104
ILMN_1802631	142.2011	0.03246753
ILMN_2318481	73.77741	0.5935065
ILMN_2245223	90.5017	0.1818182
ILMN_3238543	73.63738	0.6
ILMN_1735591	123.5122	0.05064935
ILMN_2362126	117.2957	0.05454545
ILMN_2269136	131.8165	0.04415584
ILMN_3239130	161.8408	0.01818182
ILMN_2120103	76.70938	0.4701299
ILMN_3242883	339.4394	0
ILMN_2100055	70.86238	0.7935065
ILMN_1887648	70.30623	0.8285714
ILMN_1688627	78.22598	0.412987
ILMN_1672767	70.88984	0.7922078
ILMN_2196642	77.03603	0.4584416
ILMN_2308689	142.5662	0.03246753
ILMN_2290776	109.4888	0.07402597
ILMN_1777182	111.9554	0.06753246
ILMN_1729777	85.09033	0.2480519
ILMN_1690829	96.88692	0.125974
ILMN_2257015	130.2706	0.04415584
ILMN_3181215	130.7854	0.04415584
ILMN_3260345	191.4398	0.007792208
ILMN_1703228	83.73279	0.2753247
ILMN_1652023	105.6183	0.08701298
ILMN_2064917	265.1661	0.001298701
ILMN_1776153	90.09919	0.1883117
ILMN_1772645	167.8716	0.01428571
ILMN_1775082	77.4247	0.4402598
ILMN_1680343	100.3427	0.1012987
ILMN_2277492	86.93163	0.2233766
ILMN_2371825	208.527	0.006493506
ILMN_1717468	75.72276	0.512987
ILMN_2274377	71.48597	0.7493507
ILMN_1750235	70.80368	0.7961039
ILMN_1664006	106.9842	0.08311688
ILMN_1707169	116.2661	0.05714286
ILMN_1779109	70.67471	0.8090909
ILMN_1697790	73.57423	0.6025974
ILMN_1679520	163.0628	0.01688312
ILMN_1732176	124.3816	0.04935065
ILMN_1681081	130.7593	0.04415584
ILMN_2377430	147.8634	0.02727273
ILMN_1661373	76.30044	0.487013
ILMN_2288175	79.04858	0.3896104
ILMN_1654010	200.1607	0.006493506
ILMN_1732672	77.11513	0.4506494
ILMN_1730504	132.4232	0.04285714
ILMN_1662049	143.7822	0.03116883
ILMN_1740752	83.3337	0.2818182
ILMN_1794875	469.6214	0
ILMN_1698209	136.2807	0.03766234
ILMN_3307841	70.01299	0.848052
ILMN_1814151	77.59087	0.4298701
ILMN_2050246	67.65341	0.9376624
ILMN_1728787	152.2399	0.02467532
ILMN_2234605	76.58123	0.4766234
ILMN_1770454	126.5502	0.04805195
ILMN_1770336	67.55092	0.9402598
ILMN_1714253	87.75963	0.212987
ILMN_1813530	144.6875	0.02857143
ILMN_2223922	157.49	0.01818182
ILMN_1718071	856.8214	0
ILMN_1814327	77.94016	0.4220779
ILMN_2341343	79.63438	0.3701299
ILMN_1775634	74.11765	0.5805195
ILMN_1802458	207.3852	0.006493506
ILMN_2307656	236.7036	0.003896104
ILMN_1709796	90.08218	0.1883117
ILMN_1783963	76.16228	0.4883117
